cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,peak_flux_mJy_beam,int_flux_mJy,major_axis_arcsec,minor_axis_arcsec,rms_mJy_beam,sidelobe_prob,is_extended
65,A1307,173.22,14.47,3,173.25679166666666,14.541675,4.802251807261348,7.83,58.01,17.469999313354492,10.510000228881836,,,True
65,A1307,173.22,14.47,4,173.260125,14.54025,4.816500120989431,9.26,89.13,21.010000228881836,11.760000228881836,,,True
72,A2440,335.97,-1.64,1,335.9491333333333,-1.6502249999999998,1.3937698256672066,5.76,5.38,1.2300000190734863,0.0,,,False
72,A2440,335.97,-1.64,2,335.9741208333333,-1.6018305555555556,2.3034641320120506,2.75,4.99,10.8100004196167,0.0,,,True
72,A2440,335.97,-1.64,3,335.97304999999994,-1.600513888888889,2.376218196921746,9.69,27.25,11.420000076293945,4.820000171661377,,,True
79,RXC J2344.2-0422,356.07,-4.37,1,355.9923333333333,-4.389030555555556,4.784637319764171,2.56,2.04,0.0,0.0,,,False
88,RXC J2218.2-0350,334.57,-3.83,1,334.5332875,-3.8348666666666666,2.2171367091998317,3.36,3.87,3.450000047683716,0.0,,,False
88,RXC J2218.2-0350,334.57,-3.83,2,334.60500833333333,-3.814058333333333,2.3037770095629804,2.18,2.7,5.610000133514404,0.0,,,True
93,A2050,229.08,0.1,1,229.08569583333332,0.060977777777777784,2.3661434033626767,1.96,9.69,16.459999084472656,7.860000133514404,,,True
93,A2050,229.08,0.1,2,229.08386666666664,0.06010277777777778,2.4050492553239478,4.05,9.63,9.890000343322754,3.5,,,True
93,A2050,229.08,0.1,3,229.09971249999998,0.03652222222222222,3.9880869112402917,2.47,1.97,2.140000104904175,0.0,,,False
93,A2050,229.08,0.1,4,229.15340833333332,0.11158611111111112,4.459014547933087,2.06,5.21,8.720000267028809,5.699999809265137,,,True
93,A2050,229.08,0.1,5,229.15473749999998,0.11427777777777778,4.565337383414869,2.41,5.12,10.0,1.0099999904632568,,,True
93,A2050,229.08,0.1,6,229.15394166666664,0.12771666666666667,4.7379344803841175,12.43,14.07,2.390000104904175,1.8799999952316284,,,False
107,A2495,342.59,10.9,1,342.58207916666663,10.903494444444444,0.5116091557891927,11.33,14.68,3.859999895095825,2.5299999713897705,,,False
107,A2495,342.59,10.9,2,342.6004291666666,10.93471388888889,2.1715691343578176,4.22,6.66,4.739999771118164,4.21999979019165,,,False
107,A2495,342.59,10.9,3,342.6604541666666,10.906722222222223,4.1704873253892565,4.18,6.17,6.210000038146973,1.690000057220459,,,True
107,A2495,342.59,10.9,4,342.6541874999999,10.947316666666667,4.7285744375770715,4.09,4.15,1.4299999475479126,0.0,,,False
115,MKW 3s,230.46,7.71,1,230.4660208333333,7.708788888888889,0.36528552993033203,5.88,7.65,3.4100000858306885,2.4700000286102295,,,False
115,MKW 3s,230.46,7.71,2,230.45527083333332,7.694891666666667,0.9491101025342307,1.43,2.27,6.78000020980835,0.0,,,True
115,MKW 3s,230.46,7.71,3,230.4618708333333,7.6938,0.9783443930260874,2.16,39.64,29.719999313354492,16.829999923706055,,,True
115,MKW 3s,230.46,7.71,4,230.4635083333333,7.693561111111111,1.008150711752005,2.81,5.58,8.279999732971191,2.259999990463257,,,True
115,MKW 3s,230.46,7.71,5,230.4618833333333,7.692302777777778,1.0677217458841755,1.45,8.76,29.940000534057617,2.049999952316284,,,True
115,MKW 3s,230.46,7.71,6,230.42707499999997,7.739052777777778,2.6212068264811177,5.73,8.84,5.900000095367432,1.559999942779541,,,True
119,A2052,229.18,7.02,1,229.18321666666665,7.018947222222222,0.20169961227128247,117.74,365.69,12.130000114440918,4.170000076293945,,,True
119,A2052,229.18,7.02,2,229.18569166666666,7.022044444444444,0.36045374810649916,501.17,3509.86,15.390000343322754,11.300000190734863,,,True
119,A2052,229.18,7.02,3,229.18585416666664,7.015611111111111,0.4368973725651184,38.34,603.51,26.5,16.09000015258789,,,True
