cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,peak_flux_mJy_beam,total_flux_mJy,major_axis_arcsec,minor_axis_arcsec,resolved,s_code
170,RX J0820.9+0751,125.26,7.87,3,125.26663322741634,7.892480753243529,1.40527722825373,0.6664183041299357,0.7003779283866147,11.511902655455705,7.397867041124723,U,S
170,RX J0820.9+0751,125.26,7.87,4,125.26407780211403,7.835633052607622,2.07621253115553,3.3827600518410725,4.560566008355921,10.551376320016901,10.35382747147291,U,S
170,RX J0820.9+0751,125.26,7.87,5,125.22149597669403,7.875954140588275,2.3161823448882037,1.0819156871720945,2.007751865132862,12.46040760346059,12.068190289505067,U,S
170,RX J0820.9+0751,125.26,7.87,6,125.20668952068964,7.867184635579655,3.1730122122304114,0.7019345200935693,25.15737517775926,64.10300529029895,45.30482979978366,U,S
170,RX J0820.9+0751,125.26,7.87,7,125.20562219098571,7.851675709512141,3.4138971874298694,1.4468514514052233,1.6287229431330819,10.697217554909981,8.527171882028869,U,S
170,RX J0820.9+0751,125.26,7.87,8,125.30837292078726,7.9077349752713575,3.659403707084937,1.0518415548254931,1.5040856766932253,11.729519415263026,9.879157491793867,U,S
170,RX J0820.9+0751,125.26,7.87,9,125.20335947909565,7.901113864644729,3.8492868706337693,1.4566414282830753,1.6830159225853119,9.902194042983876,9.454984986100675,U,S
170,RX J0820.9+0751,125.26,7.87,10,125.30153632354906,7.818510839487001,3.95466147419925,0.5319074048502413,0.6186554248659721,13.433357886895553,7.016114825639503,U,S
170,RX J0820.9+0751,125.26,7.87,11,125.19374539468257,7.87690307243398,3.9595239291555155,0.7343866516783158,19.799136191041338,61.31846214383287,35.6272926124869,U,S
170,RX J0820.9+0751,125.26,7.87,12,125.21788667804769,7.926536212350829,4.215565089752275,0.6202600576533673,1.2533878147012398,15.218655824959308,10.75962854748437,U,S
170,RX J0820.9+0751,125.26,7.87,13,125.29176070593782,7.804135537833672,4.3796358977802585,3.5443533275475896,5.405390772862203,11.495242911017792,10.750712743524915,U,S
170,RX J0820.9+0751,125.26,7.87,14,125.32364285088707,7.828289499923741,4.535713302220205,4.1038818326929976,5.277479044828353,10.576323839874,9.853050917571295,U,S
170,RX J0820.9+0751,125.26,7.87,15,125.30629182919834,7.936216098116135,4.832511532319652,1.1562162376619574,1.7063042389349805,11.184100068369725,10.692926929683342,U,S
170,RX J0820.9+0751,125.26,7.87,16,125.23587558109227,7.776247410377021,5.805059005543014,0.6560836702857518,0.8040944247581793,12.023906099276083,8.259510539424094,U,S
170,RX J0820.9+0751,125.26,7.87,17,125.29553567447194,7.779696606701061,5.815383848727696,0.4744653504384222,0.8825899586319916,17.20705119894692,8.760162196056191,U,S
170,RX J0820.9+0751,125.26,7.87,18,125.3327859681513,7.937778931993406,5.937151280249132,0.963613416597502,1.5802076902428963,12.729461363280514,10.439679122331508,U,S
170,RX J0820.9+0751,125.26,7.87,19,125.29826921807651,7.773137353036592,6.241090804898352,0.6135380597253912,1.0004709788216817,13.211802327257999,10.001498163782871,U,S
170,RX J0820.9+0751,125.26,7.87,20,125.35568213126481,7.91935508630864,6.411380340278615,0.5125221105347392,0.6665542791154921,12.222512217207873,8.622856893063432,U,S
170,RX J0820.9+0751,125.26,7.87,21,125.14219808823859,7.8821066951969945,7.03902122771894,81.74210727303975,166.81797978507294,14.058545940170076,12.620649188479907,R,M
170,RX J0820.9+0751,125.26,7.87,22,125.37859118716277,7.872627321051284,7.050192921694285,0.6376305505547271,1.4111118652151746,16.535755383001153,10.845697264899277,U,S
